Unnamed: 0,kW,kW.1,kW.2,kWh,kWh.1,kWh.2,kWh.3
Periodo,Potencia Convenida,Potencia Registrada P,Potencia Registrada FP,Energía Pico,Energía Resto,Energía Valle,Reactiva
2023-12-31 00:00:00,2369,679,933,63674,193096,64859,32578
2024-01-31 00:00:00,2369,2150,2162,204943,525980,225082,254994
2024-02-29 00:00:00,2369,2310,2316,246701,645036,308895,447498
2024-03-31 00:00:00,2147,2213,2200,159038,424990,192800,201389
2024-04-30 00:00:00,2147,1557,1709,112245,313337,124387,241074
2024-05-31 00:00:00,2147,1016,1212,18658,100102,11550,6812
2024-06-30 00:00:00,432,1199,1301,25470,108691,14808,14808
2024-07-31 00:00:00,432,260,527,15400,96252,10662,7108
2024-08-31 00:00:00,432,320,575,19547,115502,10069,10366
2024-09-30 00:00:00,432,397,592,21027,109579,8292,14808
2024-10-31 00:00:00,432,373,711,20435,109283,9477,13623
2024-11-30 00:00:00,432,717,856,50940,158742,33170,34947
2024-12-31 00:00:00,2369,592,1538,80538,229649,73021,58494
2025-01-31 00:00:00,2369,2422,2467,285833,747446,337540,418237
2025-02-28 00:00:00,2369,2509,2659,274454,722340,319302,404123
2025-03-31 00:00:00,2147,1860,2052,168145,442217,187111,155596
2025-04-30 00:00:00,2147,2020,2179,126803,373988,138600,118893
2025-05-31 00:00:00,2147,1765,1963,94324,291143,92675,117129
2025-06-30 00:00:00,432,592,607,36988,134996,41714,26767
2025-07-31 00:00:00,432,402,607,27916,122439,28177,18593
2025-08-31 00:00:00,432,222,616,14337,99592,13306,14311
2025-09-30 00:00:00,432,622,719,26978,142660,13226,26716
2025-10-31 00:00:00,432,563,694,36544,142204,13493,32038
2025-11-30 00:00:00,432,447,696,27531,115718,11977,22899
2025-12-31 00:00:00,2369,1720,1824,66189,226687,49382,65434
2026-01-31 00:00:00,2369,2348,2431,239357,641787,262709,389362
2026-02-28 00:00:00,2369,2384,2490,253158,657943,304787,476124
